"","X","Brewery_ID","Name.x","Beer_ID","ABV","IBU","Style","Ounces","Name.y","City","State"
"1318",1318,235,"Harpoon Summer Beer",1380,0.05,28,"Kölsch",12,"Harpoon Brewery","Boston"," MA"
"1319",1319,235,"Harpoon IPA",1379,0.059,42,"American IPA",12,"Harpoon Brewery","Boston"," MA"
"1320",1320,235,"UFO Pumpkin",1340,0.059,20,"Pumpkin Ale",12,"Harpoon Brewery","Boston"," MA"
"1321",1321,235,"Harpoon Octoberfest",1313,0.055,30,"Märzen / Oktoberfest",12,"Harpoon Brewery","Boston"," MA"
"1322",1322,235,"Harpoon IPA (2012)",770,0.059,42,"American IPA",12,"Harpoon Brewery","Boston"," MA"
"1323",1323,235,"Harpoon Summer Beer (2012)",769,0.05,28,"Kölsch",12,"Harpoon Brewery","Boston"," MA"
"1324",1324,235,"UFO White",610,0.048,10,"American Pale Wheat Ale",12,"Harpoon Brewery","Boston"," MA"
"1325",1325,235,"Harpoon Summer Beer (2010)",192,0.05,28,"Kölsch",12,"Harpoon Brewery","Boston"," MA"
"1326",1326,235,"Harpoon IPA (2010)",126,0.059,42,"American IPA",12,"Harpoon Brewery","Boston"," MA"
"1327",1327,236,"Palate Mallet",2058,0.086,NA,"American Double / Imperial IPA",12,"Back East Brewing Company","Bloomfield"," CT"
"1328",1328,236,"Back East Porter",1483,0.06,NA,"American Porter",12,"Back East Brewing Company","Bloomfield"," CT"
"1329",1329,236,"Back East Golden Ale",1426,0.049,NA,"American Blonde Ale",12,"Back East Brewing Company","Bloomfield"," CT"
"1330",1330,236,"Misty Mountain IPA",1132,0.07,NA,"American IPA",12,"Back East Brewing Company","Bloomfield"," CT"
"1331",1331,236,"Back East Ale",1131,0.05,NA,"American Amber / Red Ale",12,"Back East Brewing Company","Bloomfield"," CT"
"1332",1332,237,"Stickin' In My Rye",2057,0.07,NA,"Rye Beer",24,"Champion Brewing Company","Charlottesville"," VA"
"1333",1333,237,"Black Me Stout",2056,0.06,45,"American Stout",12,"Champion Brewing Company","Charlottesville"," VA"
"1334",1334,237,"Killer Kolsch",2055,0.05,22,"Kölsch",12,"Champion Brewing Company","Charlottesville"," VA"
"1335",1335,237,"Missile IPA",1933,0.07,65,"American IPA",12,"Champion Brewing Company","Charlottesville"," VA"
"1336",1336,238,"Bravo Four Point",2051,0.044,45,"American Pale Ale (APA)",12,"Devil's Backbone Brewing Company","Lexington"," VA"
"1337",1337,238,"Striped Bass Pale Ale",1201,0.052,26,"American Pale Ale (APA)",12,"Devil's Backbone Brewing Company","Lexington"," VA"
"1338",1338,239,"Cream Ale",2050,0.042,35,"Cream Ale",12,"Newburgh Brewing Company","Newburgh"," NY"
"1339",1339,240,"Tarasque",2047,0.059,NA,"Saison / Farmhouse Ale",12,"Wiseacre Brewing Company","Memphis"," TN"
"1340",1340,240,"Ananda India Pale Ale",1470,0.062,61,"American IPA",12,"Wiseacre Brewing Company","Memphis"," TN"
"1341",1341,240,"Tiny Bomb",1469,0.045,23,"American Pilsner",12,"Wiseacre Brewing Company","Memphis"," TN"
"1342",1342,241,"Might As Well IPL",2045,0.072,75,"American Pale Lager",16,"Golden Road Brewing","Los Angeles"," CA"
"1343",1343,241,"Saison Pamplemousse",1960,0.058,35,"Saison / Farmhouse Ale",12,"Golden Road Brewing","Los Angeles"," CA"
"1344",1344,241,"2020 IPA",1777,0.074,74,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1345",1345,241,"Wolf Among Weeds IPA",1698,0.08,70,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1346",1346,241,"Better Weather IPA",1641,0.094,92,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1347",1347,241,"Point the Way IPA",1490,0.059,60,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1348",1348,241,"Golden Road Hefeweizen",1489,0.046,15,"Hefeweizen",16,"Golden Road Brewing","Los Angeles"," CA"
"1349",1349,241,"Heal the Bay IPA",1399,0.068,65,"American IPA",16,"Golden Road Brewing","Los Angeles"," CA"
"1350",1350,241,"Point the Way IPA",1296,0.059,60,"American IPA",12,"Golden Road Brewing","Los Angeles"," CA"
"1351",1351,241,"Cabrillo Kölsch",1034,0.05,NA,"Kölsch",16,"Golden Road Brewing","Los Angeles"," CA"
